User,Review,Rating,Date,Tahun,Sentiment,Aspek,ulasan_filtered
Pengguna Google,"Praktis sekali aplikasinya ketika digunakan tidak ribet, makin di-update semakin bagus aja terutama ikannya yang semakin berkurang, sebetulnya iklan tidak terlalu bermasalah hanya saja penempatan iklannya, saran saya untuk ikannya jangan di tengah alangkah lebih baik iklannya berada di ujung atau di awal, selebihnya Saya kira aplikasi ini sangat recommended banget digunakan di saat waktu luang yang sedang kosong, yuk buruan download sekarang juga nanti nyesel deh kalau kita download",5,2024-10-09 12:56:34,2024,Positif,Kinerja/Performa,praktis sekali aplikasinya ketika digunakan tidak ribet makin didiperbarui semakin bagus aja terutama ikannya yang semakin berkurang sebetulnya iklan tidak terlalu bermasalah hanya saja penempatan iklannya saran saya untuk ikannya jangan di tengah alangkah lebih baik iklannya berada di ujung atau di awal selebihnya saya kira aplikasi ini sangat recommended banget digunakan di saat waktu luang yang sedang kosong yuk buruan unduh sekarang juga nanti nyesel deh kalau kita unduh
Pengguna Google,"Love banget!! Memang sudah bagus dari Sononya, tidak heran banyak yang suka dan berminat untuk bergabung pada platform bank digital yang satu ini, ternyata memang aplikasi bagusnya kebangetan, ada banyak cara yang bisa dilakukan untuk bisa transaksi/deposito dengan mudah dan cepat, salah satunya dengan cara bergabung pada platform ini yang tepat dan terpercaya, selalu saja memberi promo yang sesuai dengan yang dibutuhkan sehingga sangat membantu u, pendaftarannya juga mudah hanya perlu ktp",5,2024-09-22 13:26:15,2024,Positif,Kinerja/Performa,love banget memang sudah bagus dari sononya tidak heran banyak yang suka dan berminat untuk bergabung pada platform bank digital yang satu ini ternyata memang aplikasi bagusnya kebangetan ada banyak cara yang bisa dilakukan untuk bisa transaksideposito dengan mudah dan cepat salah satunya dengan cara bergabung pada platform ini yang tepat dan terpercaya selalu saja memberi promo yang sesuai dengan yang dibutuhkan sehingga sangat membantu u pendaftarannya juga mudah hanya perlu ktp
Pengguna Google,"Paling mampu memberikan senyuman kepada kebanyakan nasabah dengan memberikan keuntungan maksimal dari deposito sangat sesuai, merupakan aplikasi bank modern yang bagusnya bukan kaleng2, untuk setiap deposito yang diberikan keuntungan yang luar biasa , untuk tampilan UI dan AE nya selalu mengesankan, memang yang bagus tidak pernah zonk, selalu bisa diandalkan untuk dapatkan keuntungan dengan jangka pembayaran yang panjang juga, terima kasih atas segala pelayanan nya",5,2024-09-29 04:04:49,2024,Positif,Fitur,paling mampu memberikan senyuman kepada kebanyakan nasabah dengan memberikan keuntungan maksimal dari deposito sangat sesuai merupakan aplikasi bank modern yang bagusnya bukan kaleng untuk setiap deposito yang diberikan keuntungan yang luar biasa untuk tampilan ui dan ae nya selalu mengesankan memang yang bagus tidak pernah zonk selalu bisa diandalkan untuk dapatkan keuntungan dengan jangka pembayaran yang panjang juga terima kasih atas segala pelayanan nya
Pengguna Google,"Wow, ternyata mudah untuk mendapatkan keuntungan dari deposito/menabung, ada banyak fitur pendukung tambahannya juga, untuk tampil UI dan AE nya sangat baik, layak lah untuk 2 jempol diberikan, termasuk aplikasi yang sangat terpercaya dan aman juga karena untuk sistemnya selalu lancar serta sudah diawasi oleh pihak otoritas yang terkait sehingga sangat terpercaya, untuk pengalaman menabung yang luar bisa ini memang pilihan yang sangat tepat, semoga terus amanah untuk kedepannya,sukses selalu",5,2024-09-22 08:18:34,2024,Positif,Keamanan dan Privasi,wow ternyata mudah untuk mendapatkan keuntungan dari depositomenabung ada banyak fitur pendukung tambahannya juga untuk tampil ui dan ae nya sangat baik layak lah untuk jempol diberikan termasuk aplikasi yang sangat terpercaya dan aman juga karena untuk sistemnya selalu lancar serta sudah diawasi oleh pihak otoritas yang terkait sehingga sangat terpercaya untuk pengalaman menabung yang luar bisa ini memang pilihan yang sangat tepat semoga terus amanah untuk kedepannyasukses selalu
Pengguna Google,"Bagus dan sangat menawan aplikasi Bank digital yang satu ini, selalu suka bermain pada aplikasi ini yang juga sangat memberikan banyak manfaat kepada para nasabahnya yang menabung dan mendepositokan uangnya di sini, pondok proses pendaftarannya juga sangat simpel tidak sulit, tidak ribet, setiap hari selalu aja ada tampilan terbaru yang lebih keren daripada sebelumnya, untuk versi yang sekarang sudah sangat baik sekali, Saya berharap tidak perlu ada banyak perubahan lagi, selamat bertransaksi",5,2024-10-08 13:45:39,2024,Positif,Kinerja/Performa,bagus dan sangat menawan aplikasi bank digital yang satu ini selalu suka bermain pada aplikasi ini yang juga sangat memberikan banyak manfaat kepada para nasabahnya yang menabung dan mendepositokan uangnya di sini pondok proses pendaftarannya juga sangat simpel tidak sulit tidak ribet setiap hari selalu aja ada tampilan terbaru yang lebih keren daripada sebelumnya untuk versi yang sekarang sudah sangat baik sekali saya berharap tidak perlu ada banyak perubahan lagi selamat bertransaksi
Pengguna Google,"Overall semuanya sudah sangat baik ketika digunakan untuk bertransaksi apapun, ketika menggunakan aplikasi ini untuk segala urusan saya tidak atau belum menemukan kendala yang menghambat transaksi, segala macam jenis top up atau pembelian ada di satu aplikasi menjadi semuanya lebih simple, dan lebih hemat ruang penyimpanan karena tidak perlu banyak mendownload aplikasi yang membuat memori penuh, grafik dan tampilannya juga sangat sederhana sekali, secara keseluruhan aplikasinya sudah sangat oke",5,2024-10-05 16:07:15,2024,Positif,Kinerja/Performa,overall semuanya sudah sangat baik ketika digunakan untuk bertransaksi apapun ketika menggunakan aplikasi ini untuk segala urusan saya tidak atau belum menemukan kendala yang menghambat transaksi segala macam jenis top up atau pembelian ada di satu aplikasi menjadi semuanya lebih simpel dan lebih hemat ruang penyimpanan karena tidak perlu banyak menunduh aplikasi yang membuat memori penuh grafik dan tampilannya juga sangat sederhana sekali secara keseluruhan aplikasinya sudah sangat oke
Pengguna Google,"Tampilan pada halaman utamanya sangat bagus,Aplikasi sea bank untuk tabungan tanpa ada biaya bulanan atau berlangganan, untuk menambah saldo gunakan bonus yang ada di papan nama, aplikasi ini dapat melakukan berbagai transaksi dengan segala kemudahannya, sangat nyaman dipakai dan transfer jadi lebih hemat lewat aplikasi ini karena setiap bulannya kita mendapatkan gratis top up maupun transfer 100 kali, untuk pembukaan rekening di aplikasi ini juga tidak ribet, Baru kali ini nabung dan untung",5,2024-10-05 11:24:18,2024,Positif,Keamanan dan Privasi,tampilan pada halaman utamanya sangat bagusaplikasi sea bank untuk tabungan tanpa ada biaya bulanan atau berlangganan untuk menambah saldo gunakan bonus yang ada di papan nama aplikasi ini dapat melakukan berbagai transaksi dengan segala kemudahannya sangat nyaman dipakai dan transfer jadi lebih hemat lewat aplikasi ini karena setiap bulannya kita mendapatkan gratis top up maupun transfer kali untuk pembukaan rekening di aplikasi ini juga tidak ribet baru kali ini nabung dan untung
Pengguna Google,"Aplikasi sea bank emang ter the best! Benar-benar memberikan semua kemudahan dalam segala aspek keuangan, salah satunya bisa bebas biaya transfer free admin kemanapun, bisa bayar tagihan ditambah banyak fitur tambahan yang sangat membantu untuk penggunanya bertransaksi secara cepat tanpa kendala, aplikasi ini memang sangat user friendly dengan acara muka yang sangat modern dan intuitif, tidak heran aplikasi ini banyak sekali peminatnya, sangat memuaskan gunakan aplikasi ini, lengkap banget deh",5,2024-10-08 14:17:29,2024,Positif,Kinerja/Performa,aplikasi sea bank emang ter terbaik benarbenar memberikan semua kemudahan dalam segala aspek keuangan salah satunya bisa bebas biaya transfer free admin kemanapun bisa bayar tagihan ditambah banyak fitur tambahan yang sangat membantu untuk penggunanya bertransaksi secara cepat tanpa kendala aplikasi ini memang sangat pengguna ramah dengan acara muka yang sangat modern dan intuitif tidak heran aplikasi ini banyak sekali peminatnya sangat memuaskan gunakan aplikasi ini lengkap banget deh
Pengguna Google,"Antarmuka yang ramah dan sangat intuitif banget deh pokoknya, fiturnya juga sangat canggih dan berkualitas dengan tingkat keamanan yang sangat baik , aplikasinya juga sudah terdaftar di otoritas tertentu jadi buat teman-teman tidak perlu ragu untuk mendownload aplikasi yang satu ini, tampilan di halaman utamanya sangat bagus, aplikasi ini sangat cocok sekali untuk untuk digunakan bagi yang suka menabung atau deposito, keuntungan dan bunga yang didapat juga sangat lumayan tergantung nilai",5,2024-10-04 10:15:02,2024,Positif,Keamanan dan Privasi,antarmuka yang ramah dan sangat intuitif banget deh pokoknya fiturnya juga sangat canggih dan berkualitas dengan tingkat keamanan yang sangat baik aplikasinya juga sudah terdaftar di otoritas tertentu jadi buat temanteman tidak perlu ragu untuk menunduh aplikasi yang satu ini tampilan di halaman utamanya sangat bagus aplikasi ini sangat cocok sekali untuk untuk digunakan bagi yang suka menabung atau deposito keuntungan dan bunga yang didapat juga sangat lumayan tergantung nilai
Pengguna Google,"Excellent aplikasinya, mantap pembayaran cepat menggunakan aplikasi yang satu ini, Saya sangat senang dan sangat puas dengan pelayanan aplikasi yang ini, aplikasi ini sangat membantu sekali selain biaya transfer gratis juga mendapatkan banyak diskon saat belanja di shopee, menjadi salah satu kelebihan yang tidak dimiliki oleh aplikasi yang lain, tampilan di halaman utamanya juga sangat bagus, yoga ramah ruang penyimpanan, era digital seperti ini sangat perlu aplikasi bank digital semacam ini",5,2024-10-09 03:52:38,2024,Positif,Keamanan dan Privasi,ecellent aplikasinya mantap pembayaran cepat menggunakan aplikasi yang satu ini saya sangat senang dan sangat puas dengan pelayanan aplikasi yang ini aplikasi ini sangat membantu sekali selain biaya transfer gratis juga mendapatkan banyak diskon saat belanja di shopee menjadi salah satu kelebihan yang tidak dimiliki oleh aplikasi yang lain tampilan di halaman utamanya juga sangat bagus yoga ramah ruang penyimpanan era digital seperti ini sangat perlu aplikasi bank digital semacam ini
